2026-09-01 03:57:35.971 [info] Reading sessions from keychain...
2026-09-01 03:57:35.971 [info] Got stored sessions!
2026-09-01 03:57:35.971 [info] Got 6 verified sessions.
2026-09-01 04:01:55.461 [info] Got 6 sessions for ...
2026-09-01 04:01:55.507 [info] Getting sessions for all scopes...
2026-09-01 04:01:55.508 [info] Got 6 sessions for ...
2026-09-01 04:03:03.148 [info] Getting sessions for all scopes...
2026-09-01 04:03:03.148 [info] Got 6 sessions for ...
2026-09-01 04:03:03.199 [info] Getting sessions for all scopes...
2026-09-01 04:03:03.199 [info] Got 6 sessions for ...
2026-09-01 04:03:58.331 [info] Getting sessions for all scopes...
2026-09-01 04:03:58.331 [info] Got 6 sessions for ...
2026-09-01 04:03:58.378 [info] Getting sessions for all scopes...
2026-09-01 04:03:58.378 [info] Got 6 sessions for ...
2026-09-01 04:07:38.784 [info] Getting sessions for all scopes...
2026-09-01 04:07:38.784 [info] Got 6 sessions for ...
2026-09-01 04:07:38.825 [info] Getting sessions for all scopes...
2026-09-01 04:07:38.825 [info] Got 6 sessions for ...
2026-09-01 04:08:53.957 [info] Getting sessions for all scopes...
2026-09-01 04:08:53.957 [info] Got 6 sessions for ...
2026-09-01 04:08:54.020 [info] Getting sessions for all scopes...
2026-09-01 04:08:54.020 [info] Got 6 sessions for ...
2026-09-01 04:09:33.441 [info] Getting sessions for all scopes...
2026-09-01 04:09:33.441 [info] Got 6 sessions for ...
2026-09-01 04:09:33.484 [info] Getting sessions for all scopes...
2026-09-01 04:09:33.484 [info] Got 6 sessions for ...
2026-09-01 04:09:46.343 [info] Getting sessions for all scopes...
2026-09-01 04:09:46.343 [info] Got 6 sessions for ...
2026-09-01 04:09:46.392 [info] Getting sessions for all scopes...
2026-09-01 04:09:46.392 [info] Got 6 sessions for ...
2026-09-01 04:10:07.805 [info] Getting sessions for all scopes...
2026-09-01 04:10:07.805 [info] Got 6 sessions for ...
2026-09-01 04:10:07.856 [info] Getting sessions for all scopes...
2026-09-01 04:10:07.856 [info] Got 6 sessions for ...
2026-09-01 04:11:01.998 [info] Getting sessions for all scopes...
2026-09-01 04:11:01.998 [info] Got 6 sessions for ...
2026-09-01 04:11:02.042 [info] Getting sessions for all scopes...
2026-09-01 04:11:02.042 [info] Got 6 sessions for ...
2026-09-01 04:11:15.042 [info] Getting sessions for all scopes...
2026-09-01 04:11:15.042 [info] Got 6 sessions for ...
2026-09-01 04:11:15.086 [info] Getting sessions for all scopes...
2026-09-01 04:11:15.086 [info] Got 6 sessions for ...
2026-09-01 04:11:25.074 [info] Getting sessions for all scopes...
2026-09-01 04:11:25.074 [info] Got 6 sessions for ...
2026-09-01 04:11:25.121 [info] Getting sessions for all scopes...
2026-09-01 04:11:25.121 [info] Got 6 sessions for ...
2026-09-01 04:12:00.112 [info] Getting sessions for all scopes...
2026-09-01 04:12:00.113 [info] Got 6 sessions for ...
2026-09-01 04:12:00.158 [info] Getting sessions for all scopes...
2026-09-01 04:12:00.158 [info] Got 6 sessions for ...
2026-09-01 04:12:13.609 [info] Getting sessions for all scopes...
2026-09-01 04:12:13.609 [info] Got 6 sessions for ...
2026-09-01 04:12:13.651 [info] Getting sessions for all scopes...
2026-09-01 04:12:13.651 [info] Got 6 sessions for ...
2026-09-01 04:12:52.158 [info] Getting sessions for all scopes...
2026-09-01 04:12:52.158 [info] Got 6 sessions for ...
2026-09-01 04:12:52.207 [info] Getting sessions for all scopes...
2026-09-01 04:12:52.208 [info] Got 6 sessions for ...
2026-09-01 04:13:26.951 [info] Getting sessions for all scopes...
2026-09-01 04:13:26.951 [info] Got 6 sessions for ...
2026-09-01 04:13:27.001 [info] Getting sessions for all scopes...
2026-09-01 04:13:27.001 [info] Got 6 sessions for ...
2026-09-01 04:14:19.215 [info] Getting sessions for all scopes...
2026-09-01 04:14:19.215 [info] Got 6 sessions for ...
2026-09-01 04:14:19.262 [info] Getting sessions for all scopes...
2026-09-01 04:14:19.262 [info] Got 6 sessions for ...
